,magnitude,depth
0,2.5,33.3
1,5.4,10.0
2,5.5,10.0
3,4.9,10.0
4,4.4,35.0
5,4.6,33.46
6,4.4,10.0
7,4.2,189.37
8,4.3,10.0
9,3.51,-0.79
10,2.54,-1.23000001907349
11,2.75,5.11
12,2.5,68.2
13,4.3,10.0
14,2.9,7.26
15,3.69,49.0
16,2.72,10.94
17,4.4,10.0
18,2.6,166.0
19,3.0,10.0
20,4.5,10.0
21,5.2,10.0
22,2.7,5.0
23,2.59,10.21
24,2.9,6.44
25,2.74,3.79
26,3.4,78.96
27,3.36,46.54
28,3.17,10.71
29,4.5,530.38
30,2.9,49.3
31,2.5,66.9
32,4.3,10.0
33,4.3,400.11
34,4.9,208.17
35,2.8,4.614794922
36,2.6,5.0
37,2.52,12.22
38,5.2,44.54
39,2.9,10.0
40,3.2,7.19
41,4.7,10.0
42,3.57,80.0
43,4.3,140.97
44,4.6,10.0
45,4.6,554.11
46,4.4,10.0
47,2.6,5.0
48,5.4,10.0
49,3.4,7.519799805
50,3.1,5.0
51,4.4,78.17
52,2.8,5.47
53,4.6,58.16
54,3.2,6.157275391
55,3.04,2.28
56,2.69,31.69
57,3.5,10.0
58,2.6,115.38
59,3.24,56.17
60,4.4,177.61
61,4.3,348.62
62,3.44,25.29
63,2.57,8.76
64,5.1,35.0
65,2.52,12.11
66,3.09,40.77
67,4.4,243.08
68,2.8,5.0
69,4.5,152.61
70,4.3,35.56
71,2.8,32.24
72,2.89,13.36
73,4.6,298.95
74,2.8,2.866650391
75,3.4,2.6
76,4.9,46.48
77,5.2,8.13
78,2.6,7.699755859
79,3.17,28.95
80,3.66,113.0
81,4.6,19.4
82,3.38,22.96
83,3.26,38.42
84,3.27,40.6
85,4.3,36.31
86,4.3,10.0
87,4.5,10.0
88,2.47,9.4
89,2.55,16.42
90,3.29,7.08
91,3.75,3.0
92,4.6,65.08
93,4.4,10.0
94,2.6,5.0
95,4.3,10.0
96,2.5,8.46
97,2.6,4.8
98,4.4,56.92
99,2.9,5.154663086
100,4.7,10.0
101,2.7,3.28
102,2.9,20.1
103,3.8,7.93112793
104,2.5,5.0
105,4.6,125.81
106,4.5,144.21
107,5.2,10.49
108,4.3,224.01
109,2.5,72.1
110,5.8,26.52
111,2.5,5.0
112,2.9,16.27
113,4.1,66.28
114,3.05,17.32
115,2.47,9.78
116,5.1,10.0
117,5.6,10.15
118,3.8,18.97
119,5.0,58.43
120,4.1,114.28
121,3.2,0.0
122,2.5,13.66
123,4.0,47.25
124,4.6,53.39
125,3.3,6.73
126,3.4,11.9
127,4.6,10.0
128,3.29,-0.46
129,2.7,6.568603515999999
130,4.8,10.0
131,5.4,10.0
132,3.5,16.23
133,2.9,176.1
134,4.7,10.0
135,5.1,10.0
136,4.7,10.0
137,4.3,10.0
138,3.8,20.91
139,2.82,31.83
140,2.59,-0.78
141,2.7,2.7
142,2.61,18.78
143,2.81,8.44
144,2.7,89.1
145,3.02,7.0
146,4.5,10.0
147,3.0,169.99
148,4.9,597.7
149,4.5,595.85
150,2.7,91.4
151,2.59,12.37
152,2.5,5.8
153,2.495323809,4.846166992
154,2.7,5.0
155,4.9,75.58
156,2.7,5.0
157,2.95,9.79
158,4.9,10.0
159,2.49,11.63
160,4.6,35.0
161,5.0,35.0
162,2.6,17.97
163,3.67,-0.49
164,4.4,10.0
165,5.0,507.53
166,4.4,87.49
167,5.0,57.7
168,5.0,10.0
169,3.3,12.23
170,2.5,68.3
171,4.5,10.0
172,4.1,108.92
173,5.0,10.0
174,2.65,0.1
175,5.7,10.0
176,3.3,10.0
177,4.5,33.17
178,2.5,5.540283203000001
179,3.1,6.0
180,2.5,7.0
181,2.78,32.41
182,4.7,51.79
183,4.3,10.0
184,4.7,10.0
185,4.5,37.78
186,2.95,31.73
187,3.14,31.82
188,4.4,203.0
189,5.3,10.0
190,4.5,91.82
191,2.6,6.362939453
192,2.6,6.157275391
193,4.2,10.0
194,2.6,5.0
195,3.17,10.31
196,3.39,37.73
197,3.6,10.0
198,2.8,35.0
199,3.3,6.234399414
200,2.6,5.745947266
201,5.1,76.49
202,5.2,46.6
203,4.6,6.799975586
204,4.5,121.93
205,5.4,110.17
206,2.46,15.93
207,4.4,135.36
208,5.3,123.58
209,3.1,11.0
210,4.2,10.0
211,2.45,10.03
212,4.8,10.0
213,4.9,10.0
214,4.7,139.64
215,4.8,10.0
216,2.56,12.09
217,4.6,10.0
218,2.6,6.979931641
219,4.6,10.0
220,2.8,77.5
221,4.5,10.0
222,2.59,11.7
223,4.8,10.0
224,4.3,10.0
225,5.2,10.0
226,3.22,35.69
227,2.7,1.6
228,2.78,11.99
229,3.2,123.0
230,4.7,53.76
231,2.7,6.74855957
232,4.6,35.0
233,4.0,6.157275391
234,4.6,62.6
235,4.2,150.66
236,2.59,15.44
237,2.49,1.55
238,2.55,12.88
239,3.07,12.5
240,2.7,24.1
241,2.8,1.4
242,2.79,34.91
243,4.7,10.0
244,4.6,133.21
245,4.3,44.23
246,4.5,534.35
247,2.9,8.485799154
248,4.5,115.36
249,3.59,49.0
250,2.9,104.8
251,3.68,66.0
252,2.8,5.0
253,3.1,6.414355469
254,4.5,54.82
255,3.04,13.71
256,4.3,266.78
257,3.39,10.0
258,4.7,95.2
259,5.2,21.61
260,4.2,13.22
261,3.28,14.67
262,4.9,10.0
263,4.4,76.18
264,5.0,10.0
265,4.5,43.66
266,2.85,7.5
267,5.1,10.0
268,2.82,7.48
269,6.0,115.69
270,4.3,10.0
271,5.5,10.0
272,4.7,10.0
273,4.6,10.0
274,5.1,10.0
275,4.7,148.0
276,4.7,149.62
277,4.4,120.48
278,5.2,10.0
279,4.3,10.0
280,4.2,111.72
281,4.9,119.69
282,4.8,10.0
283,4.2,102.44
284,2.69,15.1
285,2.8,10.0
286,2.6,11.12691243
287,5.1,10.0
288,5.2,10.0
289,4.4,46.54
290,4.5,55.51
291,3.83,29.0
292,5.2,25.85
293,2.79,22.86
294,4.5,7.12
295,4.4,226.54
296,2.47,6.24
297,2.75,10.21
298,2.5,9.13
299,4.8,10.0
300,4.2,50.29
301,4.3,10.0
302,4.2,88.87
303,3.1,224.09
304,2.61,7.47
305,4.5,10.0
306,5.1,10.0
307,2.46,10.8
308,4.0,10.0
309,4.5,10.0
310,4.3,35.0
311,4.2,37.28
312,4.3,22.95
313,4.2,19.89
314,2.47,10.68
315,4.7,15.65
316,4.6,191.76
317,2.45,13.9
318,5.8,10.0
319,5.7,10.0
320,4.3,14.45
321,5.1,10.0
